time,close,high,low,open,volumefrom,volumeto
1520200320,0.0343,0.0343,0.0342,0.0342,21117.12,723.46
1520200380,0.0343,0.0343,0.0342,0.0343,22549.69,772.3
1520200440,0.0343,0.0343,0.0343,0.0343,30887.17,1059.43
1520200500,0.0343,0.0343,0.0343,0.0343,23475.41,805.21
1520200560,0.0343,0.0343,0.0343,0.0343,26492.25,908.68
1520200620,0.0343,0.0343,0.0342,0.0343,41705.58,1430.17
1520200680,0.0343,0.0343,0.0343,0.0343,30747.9,1054.65
1520200740,0.0343,0.0343,0.0343,0.0343,34826.69,1194.56
1520200800,0.0343,0.0343,0.0343,0.0343,28229.36,968.27
1520200860,0.0343,0.0343,0.0343,0.0343,41257.29,1415.12
1520200920,0.0343,0.0345,0.0343,0.0343,66866.26,2297.51
1520200980,0.0343,0.0344,0.0343,0.0343,42135.46,1446.11
1520201040,0.0343,0.0343,0.0343,0.0343,24640.73,845.18
1520201100,0.0343,0.0343,0.0343,0.0343,30755.5,1054.91
1520201160,0.0343,0.0343,0.0342,0.0343,94782.68,3250.59
1520201220,0.0344,0.0344,0.0343,0.0343,48568.94,1670.77
1520201280,0.0343,0.0344,0.0342,0.0344,42527.83,1457.78
1520201340,0.0344,0.0344,0.0343,0.0343,33916.51,1164.92
1520201400,0.0344,0.0344,0.0343,0.0344,23438.72,805.88
1520201460,0.0344,0.0344,0.0343,0.0344,32150.27,1104.6
1520201520,0.0344,0.0344,0.0343,0.0344,42804.56,1471.98
1520201580,0.0344,0.0344,0.0344,0.0344,27012.31,929.22
1520201640,0.0343,0.0345,0.0343,0.0344,29590.48,1016.53
1520201700,0.0344,0.0344,0.0343,0.0343,10658.47,366.37
1520201760,0.0344,0.0344,0.0343,0.0344,17524.22,602.28
1520201820,0.0344,0.0344,0.0344,0.0344,6429.2,221.16
1520201880,0.0343,0.0344,0.0343,0.0344,50587.26,1736.35
1520201940,0.0343,0.0343,0.0342,0.0343,37267.05,1277.95
1520202000,0.0343,0.0343,0.0343,0.0343,35636.95,1222.35
1520202060,0.0343,0.0343,0.0343,0.0343,28673.77,983.51
1520202120,0.0344,0.0344,0.0343,0.0343,58197.55,1996.93
1520202180,0.0343,0.0344,0.0343,0.0344,26713.39,917.09
1520202240,0.0344,0.0344,0.0343,0.0343,29293.94,1005.65
1520202300,0.0344,0.0344,0.0343,0.0344,26062.49,895.83
1520202360,0.0344,0.0344,0.0344,0.0344,26689.97,918.14
1520202420,0.0344,0.0344,0.0343,0.0344,25656.42,881.92
1520202480,0.0343,0.0344,0.0343,0.0344,45435.14,1559.77
1520202540,0.0344,0.0344,0.0343,0.0343,17691.64,607.43
1520202600,0.0344,0.0344,0.0343,0.0344,50145.02,1724.09
1520202660,0.0343,0.0344,0.0343,0.0344,31547.77,1084.71
1520202720,0.0343,0.0344,0.0343,0.0343,26019.27,893.65
1520202780,0.0343,0.0343,0.0343,0.0343,0,0
1520202840,0.0343,0.0343,0.0343,0.0343,0,0
1520202900,0.0343,0.0343,0.0343,0.0343,0,0
1520202960,0.0343,0.0343,0.0343,0.0343,0,0
1520203020,0.0344,0.0344,0.0343,0.0343,3755.97,129.21
1520203080,0.0343,0.0344,0.0343,0.0344,4977.08,170.71
1520203140,0.0343,0.0343,0.0343,0.0343,0,0
1520203200,0.0343,0.0343,0.0343,0.0343,43987.32,1508.77
1520203260,0.0343,0.0343,0.0342,0.0343,41220.22,1413.49
1520203320,0.0342,0.0343,0.0342,0.0343,49174.86,1685.48
1520203380,0.0342,0.0343,0.0342,0.0342,17096.36,586.24
1520203440,0.0342,0.0342,0.0342,0.0342,0,0
1520203500,0.0342,0.0342,0.0341,0.0342,47550.6,1625.74
1520203560,0.0343,0.0343,0.0342,0.0342,1507.19,51.7
1520203620,0.0343,0.0343,0.0343,0.0343,0,0
1520203680,0.0343,0.0343,0.0343,0.0343,0,0
1520203740,0.0342,0.0343,0.0342,0.0343,72123.09,2466.61
1520203800,0.0342,0.0343,0.0342,0.0342,275145.84,9424.56
1520203860,0.0342,0.0342,0.0342,0.0342,3000,102.6
1520203920,0.0342,0.0342,0.0342,0.0342,18616.26,636.68
1520203980,0.0342,0.0342,0.0342,0.0342,767.92,26.26
1520204040,0.0342,0.0342,0.0342,0.0342,0,0
1520204100,0.0341,0.0342,0.0341,0.0342,31346.88,1071.14
1520204160,0.0341,0.0342,0.0341,0.0341,49672.22,1694.64
1520204220,0.0342,0.0342,0.0341,0.0341,28953.01,989.17
1520204280,0.0342,0.0342,0.0341,0.0342,85618.27,2926.51
1520204340,0.0342,0.0342,0.0342,0.0342,0,0
1520204400,0.0342,0.0342,0.0342,0.0342,22402.46,766.16
1520204460,0.0342,0.0342,0.0342,0.0342,52701.08,1802.38
1520204520,0.0343,0.0343,0.0341,0.0342,653083.8,22376.39
1520204580,0.0343,0.0343,0.0343,0.0343,0,0
1520204640,0.0342,0.0343,0.0342,0.0343,20,0.684
1520204700,0.0342,0.0342,0.0342,0.0342,0,0
1520204760,0.0343,0.0343,0.0342,0.0342,41985.84,1440.11
1520204820,0.0343,0.0343,0.0343,0.0343,5000,171.5
1520204880,0.0343,0.0343,0.0343,0.0343,0,0
1520204940,0.0343,0.0343,0.0343,0.0343,0,0
1520205000,0.0343,0.0343,0.0343,0.0343,45426.73,1558.14
1520205060,0.0342,0.0343,0.0342,0.0343,95754.52,3274.8
1520205120,0.0341,0.0343,0.0341,0.0342,49809.05,1702.2
1520205180,0.0343,0.0343,0.0341,0.0341,301373.7,10320.44
1520205240,0.0343,0.0343,0.0343,0.0343,46527.27,1595.89
1520205300,0.0343,0.0343,0.0343,0.0343,157417.31,5399.41
1520205360,0.0343,0.0343,0.0343,0.0343,33331.19,1143.26
1520205420,0.0343,0.0343,0.0342,0.0343,50464.03,1730.87
1520205480,0.0343,0.0343,0.0343,0.0343,44176.38,1515.25
1520205540,0.0343,0.0343,0.0343,0.0343,61095.84,2095.59
1520205600,0.0342,0.0343,0.0342,0.0343,500,17.1
1520205660,0.0343,0.0343,0.0342,0.0342,43533.4,1493.2
1520205720,0.0343,0.0343,0.0343,0.0343,0,0
1520205780,0.0343,0.0343,0.0343,0.0343,33401.69,1145.68
1520205840,0.0344,0.0344,0.0343,0.0343,161243.36,5546.77
1520205900,0.0344,0.0345,0.0344,0.0344,66988.12,2305.96
1520205960,0.0344,0.0345,0.0344,0.0344,65684.5,2261.56
1520206020,0.0344,0.0344,0.0344,0.0344,13693.39,471.05
1520206080,0.0344,0.0344,0.0344,0.0344,21579.48,742.33
1520206140,0.0344,0.0344,0.0344,0.0344,0,0
1520206200,0.0344,0.0344,0.0344,0.0344,20066.75,690.3
1520206260,0.0344,0.0344,0.0344,0.0344,21511.32,739.99
1520206320,0.0344,0.0344,0.0344,0.0344,0,0
1520206380,0.0344,0.0344,0.0344,0.0344,0,0
1520206440,0.0344,0.0344,0.0344,0.0344,23425.11,805.82
1520206500,0.0344,0.0345,0.0344,0.0344,47536.09,1636.96
1520206560,0.0345,0.0345,0.0344,0.0344,132019.05,4554.47
1520206620,0.0345,0.0345,0.0345,0.0345,19232.24,663.51
1520206680,0.0347,0.0347,0.0345,0.0345,220273.04,7620.22
1520206740,0.0346,0.0347,0.0346,0.0347,125207.08,4338.51
1520206800,0.0346,0.0347,0.0345,0.0346,285970.28,9906.21
1520206860,0.0345,0.0346,0.0345,0.0346,20080.51,692.78
1520206920,0.0345,0.0347,0.0345,0.0345,28380.97,981.43
1520206980,0.0345,0.0347,0.0345,0.0345,71386.74,2469.77
1520207040,0.0346,0.0346,0.0345,0.0345,36712.65,1267.78
1520207100,0.0345,0.0346,0.0345,0.0346,25393.31,876.82
1520207160,0.0346,0.0346,0.0345,0.0345,39243.76,1357.17
1520207220,0.0348,0.0348,0.0346,0.0346,58623.27,2034.38
1520207280,0.0347,0.0348,0.0347,0.0348,58928.41,2044.94
1520207340,0.0348,0.0349,0.0347,0.0347,39089.16,1358.86
1520207400,0.0349,0.035,0.0348,0.0348,389664.4,13586.21
1520207460,0.035,0.035,0.0349,0.0349,118358.96,4133.03
1520207520,0.035,0.035,0.0349,0.035,59375.25,2077.63
1520207580,0.0349,0.035,0.0349,0.035,118357.39,4130.88
1520207640,0.0347,0.0349,0.0347,0.0349,47056.48,1637.52
1520207700,0.0346,0.0348,0.0346,0.0347,136240.35,4735.68
1520207760,0.0348,0.0348,0.0346,0.0346,31905.65,1106.73
1520207820,0.0347,0.0348,0.0347,0.0348,17021.33,590.64
1520207880,0.0348,0.0348,0.0347,0.0347,5678.72,197.23
1520207940,0.0348,0.0348,0.0348,0.0348,129400.41,4503.13
1520208000,0.0348,0.0348,0.0348,0.0348,232370.06,8086.48
1520208060,0.0348,0.0348,0.0348,0.0348,84505.39,2940.79
1520208120,0.0348,0.0348,0.0347,0.0348,39460.73,1372.39
1520208180,0.0348,0.0348,0.0348,0.0348,65991.5,2296.5
1520208240,0.0348,0.0349,0.0347,0.0348,418981.93,14559.29
1520208300,0.0349,0.0351,0.0348,0.0348,423631.9,14802.41
1520208360,0.0349,0.0349,0.0349,0.0349,135530.57,4730.02
1520208420,0.035,0.035,0.0349,0.0349,53215.91,1860.82
1520208480,0.035,0.0351,0.0349,0.035,84323.18,2947.74
1520208540,0.0351,0.0351,0.035,0.035,45476.38,1591.68
1520208600,0.035,0.0351,0.035,0.0351,38360.96,1342.63
1520208660,0.035,0.035,0.035,0.035,25572.09,895.02
1520208720,0.035,0.035,0.035,0.035,15177.65,531.22
1520208780,0.0351,0.0351,0.035,0.035,83370.91,2923.33
1520208840,0.0351,0.0352,0.0351,0.0351,118562.07,4165.86
1520208900,0.0352,0.0353,0.0351,0.0351,238576.45,8398.9
1520208960,0.0352,0.0352,0.0352,0.0352,46,1.62
1520209020,0.0351,0.0352,0.0351,0.0352,117475.19,4124.88
1520209080,0.0351,0.0351,0.0351,0.0351,29276.23,1027.6
1520209140,0.0351,0.0351,0.0351,0.0351,0,0
1520209200,0.0351,0.0351,0.0351,0.0351,60952.48,2139.43
1520209260,0.035,0.0351,0.035,0.0351,1374.16,48.1
1520209320,0.035,0.035,0.035,0.035,76271.52,2669.5
1520209380,0.0348,0.035,0.0348,0.035,57124.86,1993.17
1520209440,0.0348,0.0348,0.0348,0.0348,1309.27,45.56
1520209500,0.0349,0.0349,0.0348,0.0348,10406.15,363.17
1520209560,0.0348,0.0349,0.0348,0.0349,15640.26,544.28
1520209620,0.0348,0.0348,0.0348,0.0348,300,10.44
1520209680,0.0348,0.0348,0.0348,0.0348,10558.28,367.43
1520209740,0.0348,0.0348,0.0348,0.0348,11725.36,408.04
1520209800,0.0348,0.0348,0.0348,0.0348,0,0
1520209860,0.0348,0.0348,0.0348,0.0348,24953.99,868.4
1520209920,0.0348,0.0348,0.0348,0.0348,16819.21,585.31
1520209980,0.0348,0.0348,0.0348,0.0348,7714.36,268.46
1520210040,0.0348,0.0348,0.0348,0.0348,45110.11,1569.83
1520210100,0.0347,0.0349,0.0345,0.0348,316113.18,10948.07
1520210160,0.0347,0.0347,0.0346,0.0347,33712.76,1168.66
1520210220,0.0347,0.0348,0.0346,0.0347,15634.6,542.47
1520210280,0.0347,0.0347,0.0346,0.0347,44630.57,1547.85
1520210340,0.0347,0.0348,0.0346,0.0347,59695.74,2071.27
1520210400,0.0347,0.0347,0.0347,0.0347,0,0
1520210460,0.0347,0.0347,0.0347,0.0347,0,0
1520210520,0.0347,0.0347,0.0347,0.0347,0,0
1520210580,0.0348,0.0348,0.0347,0.0347,4.85,0.1687
1520210640,0.0346,0.0348,0.0345,0.0348,191240.87,6598.79
1520210700,0.0347,0.0347,0.0346,0.0346,47685.52,1651.14
1520210760,0.0347,0.0347,0.0347,0.0347,18912.85,656.28
1520210820,0.0348,0.0348,0.0346,0.0347,44298.71,1536.17
1520210880,0.0347,0.0348,0.0347,0.0348,22656.79,787.17
1520210940,0.0347,0.0347,0.0347,0.0347,0,0
1520211000,0.0347,0.0347,0.0346,0.0347,38105.83,1320.28
1520211060,0.0347,0.0347,0.0346,0.0347,34910.85,1210.36
1520211120,0.0347,0.0347,0.0347,0.0347,199.6,6.93
1520211180,0.0347,0.0347,0.0347,0.0347,0,0
1520211240,0.0348,0.0348,0.0347,0.0347,6334.17,220.43
1520211300,0.0348,0.0349,0.0347,0.0348,115299.14,4017.87
1520211360,0.0348,0.035,0.0348,0.0348,185967.9,6483.75
1520211420,0.035,0.035,0.0348,0.0348,124723.03,4358.49
1520211480,0.0348,0.035,0.0348,0.035,125599.46,4389.5
1520211540,0.0348,0.0349,0.0348,0.0348,51462.32,1792.6
1520211600,0.0348,0.0348,0.0348,0.0348,9385.27,326.61
1520211660,0.0348,0.0348,0.0348,0.0348,40375.72,1405.07
1520211720,0.0349,0.035,0.0348,0.0348,144473.07,5038.22
1520211780,0.0348,0.035,0.0348,0.0349,57088.37,1997.2
1520211840,0.0348,0.0349,0.0348,0.0348,14713.4,512.75
1520211900,0.0348,0.0348,0.0348,0.0348,0,0
1520211960,0.0347,0.0348,0.0347,0.0348,40528.3,1406.33
1520212020,0.0346,0.0348,0.0346,0.0347,241212.1,8356.16
1520212080,0.0346,0.0346,0.0346,0.0346,23902.15,827.01
1520212140,0.0347,0.0347,0.0345,0.0346,81645.06,2826.5
1520212200,0.0345,0.0347,0.0345,0.0347,114076.41,3935.76
1520212260,0.0344,0.0345,0.0344,0.0345,19612.85,676.52
1520212320,0.0345,0.0345,0.0344,0.0344,19836.76,684.37
1520212380,0.0345,0.0345,0.0345,0.0345,37972.31,1310.04
1520212440,0.0345,0.0345,0.0345,0.0345,34636.86,1194.97
1520212500,0.0345,0.0345,0.0344,0.0345,51013.79,1759.35
1520212560,0.0344,0.0345,0.0344,0.0345,15062.46,518.15
1520212620,0.0343,0.0344,0.0343,0.0344,84728.03,2907.43
